Formula,Stacking,M1,M2,X,T1_type,Mol,a_ang,N_Layers,Layer_dist_MX,Layer_dist_MM,Length_MX,Length_MT1,E_Form,Bader_M1,Bader_M2,Bader_X,Bader_T1,Band_gap_PBE_ev
Mo2C,ABA,Mo,,C,,H2O,2.84,3.0,1.363,2.725,2.13,,2.2,0.61,,-1.22,,0.0102
Mo2CO2,ABC,Mo,,C,O,H2O,3.1,5.0,1.379,2.757,2.16,2.07,-5.44,1.62,,-1.36,-0.94,0.0314
Mo2CO2,ABA,Mo,,C,O,H2O,2.88,5.0,1.412,2.824,2.18,2.06,-5.86,1.59,,-1.32,-0.93,0.0265
Mo2CF2,ABC,Mo,,C,F,H2O,3.27,5.0,0.949,1.898,2.11,2.31,-5.33,1.38,,-1.4,-0.68,0.0114
Mo2CF2,ABA,Mo,,C,F,H2O,2.9,5.0,1.339,2.678,2.15,2.24,-5.42,1.3,,-1.26,-0.67,0.0182
Ti2C,ABC,Ti,,C,,H2O,3.06,3.0,1.152,2.303,2.09,,0.355,1.18,,-2.36,,0.015
Zr2C,ABC,Zr,,C,,H2O,3.27,3.0,1.278,2.541,2.28,,-0.38,2.33,,-4.66,,0.0266
Hf2C,ABC,Hf,,C,,H2O,3.21,3.0,1.275,2.542,2.25,,0.298,1.22,,-2.44,,0.0402
V2C,ABC,V,,C,,H2O,2.9,3.0,1.09,2.179,1.99,,0.78,0.94,,-1.95,,0.0155
Nb2C,ABC,Nb,,C,,H2O,3.13,3.0,1.192,2.348,2.16,,1.665,0.93,,-1.86,,0.0355
Ta2C,ABC,Ta,,C,,H2O,3.09,3.0,1.216,2.432,2.15,,1.645,1.06,,-2.12,,0.0194
Cr2C,ABC,Cr,,C,,H2O,2.82,3.0,1.051,2.102,1.93,,2.686,0.65,,-1.3,,0.0144
